image_name,correct_lat,correct_lng,description,image_url
Chùa Thạch Long,22.039222,105.845806,"Chùa Thạch Long (Rồng đá) thuộc xã Cao Kỳ, huyện Chợ Mới, tỉnh Bắc Kạn. Nơi đây được mệnh danh là “chùa thiêng trong hang đá”.",./images/mienbac/chua-thach-long.jpg
Đền Phủ Thông,22.275389,105.877667,"Bạch Thông – quê hương cách mạng, dấu ấn lịch sử các chiến thắng Phủ Thông, Đèo Giàng, Nà Tu.",./images/mienbac/den-phu-thong.jpg
Di tích Khuổi Linh - Đồi Khau Mạ,22.2995,105.880778,"Di tích lịch sử quan trọng cho dân tộc Tày và các dân tộc thiểu số tại xã Bình Trung, huyện Chợ Mới.",./images/mienbac/doi-khau-ma.jpg
Hồ Ba Bể,22.4125,105.614167,"Hồ tự nhiên lớn nhất miền Bắc, trong top 100 hồ đẹp nhất thế giới. ",./images/mienbac/ho-ba-be.jpg
 Khu di tích lịch sử Nà Tu ,22.204722,105.877333,"Khu di tích lịch sử Nà Tu nằm tại xã Nà Tu, huyện Pác Nặm, tỉnh Bắc Kạn, là một trong những địa điểm quan trọng liên quan đến lịch sử và văn hóa của khu vực miền núi phía Bắc Việt Nam.",./images/mienbac/khu-di-tich-lich-su-na-tu.jpg
Chùa Phúc Tằng,21.254778,106.153444,"Là một ngôi chùa cổ nổi tiếng thuộc tỉnh Bắc Giang, nằm tại xã Phúc Tằng, huyện Pác Nặm, tỉnh Bắc Giang.",./images/mienbac/chua-phuc-tang.jpg
Động Thiên Thai và Đền thờ Kỳ Đồng Nguyễn Văn,21.486361,106.154361,"Động Thiên Thai và Đền thờ Kỳ Đồng Nguyễn Văn Cẩm là những địa danh nổi tiếng nằm tại tỉnh Bắc Giang, gắn liền với lịch sử, văn hóa và tín ngưỡng của người dân nơi đây.",./images/mienbac/dong-thien-thai-va-den-tho-ky-dong-nguyen-van.jpg
Hồ Cấm Sơn,21.545833,106.567889,"Hồ Cấm Sơn là một trong những danh lam thắng cảnh nổi tiếng tại tỉnh Bắc Giang, nằm tại xã Cấm Sơn, huyện Lục Nam, cách trung tâm thành phố Bắc Giang khoảng 60 km về phía Bắc.",./images/mienbac/ho-cam-son.jpg
Hồ Khuôn Thần,21.455167,106.524694,"Đây là một hồ nước ngọt rộng lớn, nằm giữa vùng đồi núi trập trùng, tạo nên khung cảnh thiên nhiên thơ mộng, yên bình.",./images/mienbac/ho-khuon-than.jpg
Tây Yên Tử,21.201694,106.75725,"Quần thể di tích Tây Yên Tử không chỉ sở hữu vẻ đẹp hoang sơ, hùng vĩ của vùng núi Đông Bắc mà còn khoác lên mình sự linh thiêng vốn có dành cho những tín đồ Phật giáo.",./images/mienbac/tay-yen-tu.jpg
Chùa Bút Pháp Thuận Thành,21.060972,106.022278,"Chùa nằm ngay khu vực ven sông Đuống, quanh chùa có dòng sông uốn lượn quanh co là khung cảnh vô cùng nên thơ. Chùa còn có tên khác là Ninh Phúc tự, thuộc xã Đình Tổ, huyện Thuận Thành, tỉnh Bắc Ninh.",./images/mienbac/chua-but-phap-thuan-thanh.jpg
Đền Bà Chúa,21.214111,106.082778,"Đền được xây dựng vào thời nhà Lý với mong muốn tưởng nhớ tấm lòng bao dung, cũng như những cống hiến to lớn của Bà cho dân tộc. ",./images/mienbac/den-ba-chua.jpg
Làng Gốm Phù Lãng,21.149333,106.257278,"Làng gốm Phù Lãng thuộc huyện Quế Võ, tỉnh Bắc Ninh, đã tồn tại ngót nghét 700 năm với những sản phẩm gốm vô cùng tinh xảo nổi tiếng khắp đất nước, trở thành một trong những làng nghề cổ xưa nhất Việt Nam.",./images/mienbac/lang-gom-phu-lang.jpg
Lăng Kinh Dương Vương,21.072722,106.048694,"Đền thờ Kinh Dương Vương hiện nay nằm ở hữu ngạn sông Đuống, thuộc thôn Á Lữ, xã Đại Đồng Thành, thị xã Thuận Thành, tỉnh Bắc Ninh",./images/mienbac/lang-kinh-duong-vuong.jpg
Đền vua Lê,22.707722,106.176583,"Đền Vua Lê nằm ở làng Đền, xã Hoàng Tung, huyện Hòa An, tỉnh Cao Bằng, cách trung tâm thành phố Cao Bằng 11km. Đền thờ Vua Lê Thái Tổ (tức Lê Lợi Cao Hoàng Đế).",./images/mienbac/den-vua-le.jpg
Khu di tích Lịch Sử Pác Pó,22.978111,106.050306, Đây là địa điểm từng gắn với hoạt động của Bác trong giai đoạn đầu trở về Tổ quốc lãnh đạo Cách mạng (1941 1945).,./images/mienbac/khu-di-tich-lich-su-pac-po.jpg
Khu di tích lịch sử rừng Trần Hưng Đạo,22.557167,106.090472,Đây là nơi lưu giữ một hệ thống các di tích gắn liền với giai đoạn lịch sử đặc biệt quan trọng của cách mạng Việt Nam và đến nay đã trở thành địa chỉ đỏ trên hành trình về nguồn Cao Bằng.  ,./images/mienbac/khu-di-tich-lich-su-rung-tran-hung-dao.jpg
Thành Nhà Mạc,22.694583,106.186611,"Căn cứ vào sự hiện diện của nhiều ngôi mộ cổ có đá khắc ghi bia mộ tên, địa chỉ, quê quán những người phu dịch xây thành chết ở đây từ thời Hàm Thô.",./images/mienbac/thanh-nha-mac.jpg
Thành Phục Hòa,22.539806,106.448444,"Đây là lũy thành được nhà Mạc xây dựng từ giữa thế kỷ XVII, nằm ở phía Đông của huyện Phục Hòa.",./images/mienbac/thanh-phuc-hoa.jpg
Nghĩa Trang Liệt Sĩ,21.381361,103.017417,"Nghĩa trang liệt sỹ A1 được xây dựng năm 1958, nằm cách điểm di tích lịch sử đồi A1 vài trăm mét về phía Nam bên con đường Võ Nguyên Giáp thuộc phường Mường Thanh, thành phố Điện Biên Phủ",./images/mienbac/nghia-trang-liet-si.jpg
